id,source_group,asset_path,size_bytes,sha256
R030,R,assets/raw/isme/isme-009-PMC13440305-f6.jpg,85837,925633b917e349a5df5d81736742f1d388458751d258084bd4701941583d5d3f
R040,R,assets/raw/isme/isme-023-PMC13502201-f8.webp,103448,34756f927ee0393789032f266e0461c28bb271bad81d178f0533496db705003c
S007,S,assets/stage1_5/S15-005/S15-005_fig5.jpg,147613,4b86cbd36c5e73280c95af5325432931741e528e4b3d09245f8ffb4ddbeaa6a7
S026,S,assets/stage1_5/S15-031/S15-031_fig1.jpg,126118,4fc6d0f99da1652c9ef1e5d0946c28cd0dc9af1325f8c0639e2e645bf1fa2542
S042,S,assets/stage1_5/S15-043/S15-043_fig7.jpg,67760,899b369e3a134d781b1d9245943fb6ed4224eae810383f05cdda71fa72d5c9ab
S045,S,assets/stage1_5/S15-052/S15-052_fig1.jpg,140689,7a54a3d9b54e06491f1e63e34dbe3aa63f6cd8baeba0eb1913777dc18e6f7cf6
Z001,Z,assets/zotero/ACS-Central-Science/VFBRUWBG/ZOT-VFBRUWBG-G7CGL9X7-FIG1-P2.png,339184,5eb74d9623e812727d76b81f4c382eb8dcdd5adacedb0d5c8275ff7d4745c84e
Z009,Z,assets/zotero/Angewandte-Chemie-International-Edition/FJ5UWFVX/ZOT-FJ5UWFVX-T72ZHZ7N-FIGScheme1-P2.png,818521,2bcb5316d6be9bbe6ba97ace777bd0cd1dd3663d6bdd4daab3efd7001d275d85
Z019,Z,assets/zotero/Bioresource-Technology/3MNSQTVZ/ZOT-3MNSQTVZ-9K59TG86-FIG4-P7.png,1718744,7770d817969b13e3145fb4ac7fe3c67ca088478e1d9779328af660014ca94721
Z021,Z,assets/zotero/Bioresource-Technology/JJWDZWKP/ZOT-JJWDZWKP-86WI2D4S-FIG6-P7.png,1015888,ad21bb8c0ee0329b3ae73cdd76aa6e52f21ef1211f88aec65f42c7ff8b11652e
Z032,Z,assets/zotero/Chemical-Engineering-Journal/DJSTSB3E/ZOT-DJSTSB3E-L5NV7G7Z-FIG6-P10.png,595153,7646cabd2f4aec68afecbc0c72dfeb3ed7efa5fbd444c99752f50656610d36ec
Z039,Z,assets/zotero/Chemical-Reviews/5IMTSNH8/ZOT-5IMTSNH8-MTCJDYR6-FIG12-P20.png,1306262,2971499e021c187d78c04ffc4c42ea77462abcd755f14b0829194dfdee3faaf8
Z052,Z,assets/zotero/Environmental-Science-Technology/4WW3EAGK/ZOT-4WW3EAGK-YVETMRNQ-FIG5-P8.png,699674,10af92511d57a3c1fc6a2a12bc549e6faf92cb105890f9c2200b461c543160e6
Z059,Z,assets/zotero/Environmental-Science-Technology/BSV4JMQQ/ZOT-BSV4JMQQ-RTP7Q3IV-FIGGA-P1.png,148291,9117bb538a3043337f7aefd282354ffbdda0cc8672fe7c7fd1736cd69f9a10ba
Z072,Z,assets/zotero/Environmental-Science-Technology/W7L5EHV7/ZOT-W7L5EHV7-NXST2C32-FIG7-P10.png,1384727,742cc5eeba2c85aa47ef290adb4dbe3de4b25dc7b398a7cbf9f7d4a873236b69
Z078,Z,assets/zotero/ISME-Communications/ZEMR5578/ZOT-ZEMR5578-MVJMFUN7-FIG5-P9.png,427281,5d94bd79d43b33e79ba443e6924cea64aa156a2e5da68ce41d5ec72f1c3000ce
Z096,Z,assets/zotero/Nature-Communications/5I7WJUY6/ZOT-5I7WJUY6-ZXE2T9QH-FIG1-P3.png,190659,0bc49dff01f718017f12f4fd5f4d4ffb74aeb6cd56b61e0d5acf7df668c38247
Z097,Z,assets/zotero/Nature-Communications/6NV7H8SC/ZOT-6NV7H8SC-8ARZXCQK-FIG2-P5.png,434929,0216c557433b97e139909b3a72625e0219c30789c1b7bf36531a500fbd8dae39
Z107,Z,assets/zotero/Nature-Sustainability/H6FIEJJA/ZOT-H6FIEJJA-8FF87MRP-FIG2-P4.png,515390,bdc41fa5b58f3f1036d03153ba23519cc6ca776b3481d24d07a07f3c8e698bdb
Z108,Z,assets/zotero/Nature-Water/T8NW8R66/ZOT-T8NW8R66-MTG3Z6IG-FIG4-P6.png,298019,098254d310a3e8a871fdccf3b0a2ddeebccdb9f2f0cf8b57a041b00f3e8aa220
Z109,Z,assets/zotero/PLOS-Computational-Biology/U2IKRPF6/ZOT-U2IKRPF6-MCK3AMFD-FIG1-P5.png,458016,13176241642d93820223989e13b2a6fe38f2753df9b867909827fe3bb5611657
Z125,Z,assets/zotero/The-ISME-Journal/ZN7J262M/ZOT-ZN7J262M-NV53KDXC-FIG1-P3.png,1618250,11823e56de5d147fd59106fc2c43d9575a3cceb64bad6539f1401ef36c8c835c
Z133,Z,assets/zotero/Water-Research/B5DYAD9Y/ZOT-B5DYAD9Y-38F3E98C-FIG2-P5.png,445415,e0bf0f2fc4e10901d1d61faec8a4eef2e1bdffbc353c64b7da2d53436dbe3815
